11:26:57.577 -> Flow rate: 20.65L/min	Output Liquid Quantity: 344mL
14:21:08.912 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:09.897 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:10.928 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:11.907 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:12.932 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:13.933 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:14.951 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:15.935 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:16.933 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:17.945 -> 	2051LFlow rate: 0.00L/min	Output Liquid Quantity: 2051113mL
14:21:18.968 -> 	2051LFlow rate: 3.33L/min	Output Liquid Quantity: 2051168mL
14:21:19.947 -> 	2051LFlow rate: 10.43L/min	Output Liquid Quantity: 2051341mL
14:21:20.957 -> 	2051LFlow rate: 10.43L/min	Output Liquid Quantity: 2051514mL
14:21:21.983 -> 	2051LFlow rate: 10.66L/min	Output Liquid Quantity: 2051691mL
14:21:22.980 -> 	2051LFlow rate: 10.43L/min	Output Liquid Quantity: 2051864mL
14:21:23.983 -> 	2051LFlow rate: 10.43L/min	Output Liquid Quantity: 2052037mL
14:21:24.967 -> 	2052LFlow rate: 10.43L/min	Output Liquid Quantity: 2052210mL
14:21:25.999 -> 	2052LFlow rate: 10.43L/min	Output Liquid Quantity: 2052383mL
14:21:26.977 -> 	2052LFlow rate: 10.66L/min	Output Liquid Quantity: 2052560mL
14:21:27.985 -> 	2052LFlow rate: 10.43L/min	Output Liquid Quantity: 2052733mL
14:21:28.983 -> 	2052LFlow rate: 10.43L/min	Output Liquid Quantity: 2052906mL
14:21:30.010 -> 	2052LFlow rate: 10.43L/min	Output Liquid Quantity: 2053079mL
14:21:31.019 -> 	2053LFlow rate: 10.42L/min	Output Liquid Quantity: 2053252mL
14:21:32.024 -> 	2053LFlow rate: 10.66L/min	Output Liquid Quantity: 2053429mL
14:21:33.034 -> 	2053LFlow rate: 10.43L/min	Output Liquid Quantity: 2053602mL
14:21:34.031 -> 	2053LFlow rate: 10.43L/min	Output Liquid Quantity: 2053775mL
14:21:35.027 -> 	2053LFlow rate: 10.43L/min	Output Liquid Quantity: 2053948mL
14:21:36.053 -> 	2053LFlow rate: 10.43L/min	Output Liquid Quantity: 2054121mL
14:21:37.040 -> 	2054LFlow rate: 10.43L/min	Output Liquid Quantity: 2054294mL
14:21:38.025 -> 	2054LFlow rate: 10.66L/min	Output Liquid Quantity: 2054471mL
14:21:39.053 -> 	2054LFlow rate: 10.43L/min	Output Liquid Quantity: 2054644mL
14:21:40.037 -> 	2054LFlow rate: 10.43L/min	Output Liquid Quantity: 2054817mL
14:21:41.068 -> 	2054LFlow rate: 10.66L/min	Output Liquid Quantity: 2054994mL
14:21:42.073 -> 	2054LFlow rate: 10.43L/min	Output Liquid Quantity: 2055167mL
14:21:43.086 -> 	2055LFlow rate: 10.43L/min	Output Liquid Quantity: 2055340mL
14:21:44.069 -> 	2055LFlow rate: 10.43L/min	Output Liquid Quantity: 2055513mL
14:21:45.095 -> 	2055LFlow rate: 10.43L/min	Output Liquid Quantity: 2055686mL
14:21:46.080 -> 	2055LFlow rate: 10.66L/min	Output Liquid Quantity: 2055863mL
14:21:47.066 -> 	2055LFlow rate: 10.66L/min	Output Liquid Quantity: 2056040mL
14:21:48.101 -> 	2056LFlow rate: 10.43L/min	Output Liquid Quantity: 2056213mL
14:21:49.102 -> 	2056LFlow rate: 10.43L/min	Output Liquid Quantity: 2056386mL
14:21:50.081 -> 	2056LFlow rate: 7.10L/min	Output Liquid Quantity: 2056504mL
14:21:51.081 -> 	2056LFlow rate: 1.33L/min	Output Liquid Quantity: 2056526mL
14:21:52.091 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:21:53.106 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:21:54.130 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:21:55.111 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:21:56.130 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:21:57.147 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:21:58.127 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:21:59.120 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:00.149 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:01.133 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:02.174 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:03.147 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:04.141 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:05.165 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:06.179 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:07.191 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:08.170 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:09.190 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:10.201 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:11.211 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:12.223 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:13.191 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:14.198 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:15.208 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:16.218 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:17.224 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:18.208 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:19.226 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:20.252 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:21.236 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:22.239 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:23.241 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:24.272 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:25.256 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:26.247 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:27.290 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:28.253 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:29.259 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:30.270 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:31.279 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:32.274 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:33.279 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:34.308 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:35.311 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:36.290 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:37.297 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:38.306 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:39.322 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:40.330 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:41.334 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:42.350 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:43.345 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:44.372 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:45.346 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:46.378 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:47.377 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:48.358 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:49.389 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:50.389 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:51.373 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:52.383 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:53.388 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:54.421 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:55.401 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:56.414 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:57.432 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:58.417 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:22:59.419 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:00.424 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:01.449 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:02.441 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:03.422 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:04.440 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:05.450 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:06.474 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:07.468 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:08.444 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:09.489 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:10.456 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:11.476 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:12.479 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:13.512 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:14.496 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:15.507 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:16.505 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:17.496 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:18.505 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:19.508 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:20.499 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:21.526 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:22.545 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:23.531 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:24.556 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:25.534 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:26.567 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:27.575 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:28.564 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:29.576 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:30.572 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:31.560 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:32.568 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:33.572 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:34.570 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:35.583 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:36.575 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:37.626 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:38.629 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:39.593 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:40.602 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:41.620 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:42.624 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:43.610 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:44.641 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:45.658 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:46.643 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:47.669 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:48.665 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:49.663 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:50.647 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:51.678 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:52.685 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:53.691 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:54.667 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:55.694 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:56.703 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:57.696 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:58.702 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:23:59.697 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:00.697 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:01.708 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:02.725 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:03.728 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:04.740 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:05.722 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:06.754 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:07.767 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:08.738 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:09.769 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:10.752 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:11.764 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:12.790 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:13.759 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:14.782 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:15.766 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:16.791 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:17.810 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:18.784 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:19.806 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:20.799 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:21.817 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:22.827 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:23.798 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:24.827 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:25.810 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:26.821 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:27.830 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:28.864 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:29.847 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:30.876 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:31.845 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:32.857 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:33.867 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:34.862 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:35.864 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:36.872 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:37.890 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:38.883 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:39.876 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:40.909 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:41.886 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:42.899 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:43.900 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:44.933 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:45.920 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:46.939 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:47.920 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:48.947 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:49.937 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:50.955 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:51.933 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:52.951 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:53.977 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:54.991 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:55.975 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:56.954 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:57.972 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:24:58.979 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:00.001 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:00.981 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:01.995 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:03.027 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:04.008 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:05.004 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:06.022 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:07.003 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:08.013 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:09.055 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:10.049 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:11.039 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:12.044 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:13.061 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:14.042 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:15.062 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:16.081 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:17.092 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:18.085 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:19.058 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:20.100 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:21.073 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:22.109 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:23.119 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:24.089 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:25.106 -> 	2056LFlow rate: 0.00L/min	Output Liquid Quantity: 2056526mL
14:25:26.125 -> 	2056LFlow rate: 4.66L/min	Output Liquid Quantity: 2056603mL
14:25:27.117 -> 	2056LFlow rate: 10.66L/min	Output Liquid Quantity: 2056780mL
14:25:28.114 -> 	2056LFlow rate: 10.43L/min	Output Liquid Quantity: 2056953mL
14:25:29.142 -> 	2056LFlow rate: 10.66L/min	Output Liquid Quantity: 2057130mL
14:25:30.136 -> 	2057LFlow rate: 10.43L/min	Output Liquid Quantity: 2057303mL
14:25:31.117 -> 	2057LFlow rate: 10.66L/min	Output Liquid Quantity: 2057480mL
14:25:32.126 -> 	2057LFlow rate: 10.43L/min	Output Liquid Quantity: 2057653mL
14:25:33.138 -> 	2057LFlow rate: 10.21L/min	Output Liquid Quantity: 2057823mL
14:25:34.142 -> 	2057LFlow rate: 10.66L/min	Output Liquid Quantity: 2058000mL
14:25:35.155 -> 	2058LFlow rate: 10.21L/min	Output Liquid Quantity: 2058170mL
14:25:36.153 -> 	2058LFlow rate: 10.66L/min	Output Liquid Quantity: 2058347mL
14:25:37.154 -> 	2058LFlow rate: 10.43L/min	Output Liquid Quantity: 2058520mL
14:25:38.165 -> 	2058LFlow rate: 10.43L/min	Output Liquid Quantity: 2058693mL
14:25:39.184 -> 	2058LFlow rate: 10.43L/min	Output Liquid Quantity: 2058866mL
14:25:40.189 -> 	2058LFlow rate: 10.43L/min	Output Liquid Quantity: 2059039mL
14:25:41.204 -> 	2059LFlow rate: 10.43L/min	Output Liquid Quantity: 2059212mL
14:25:42.181 -> 	2059LFlow rate: 10.43L/min	Output Liquid Quantity: 2059385mL
14:25:43.201 -> 	2059LFlow rate: 10.66L/min	Output Liquid Quantity: 2059562mL
14:25:44.212 -> 	2059LFlow rate: 10.43L/min	Output Liquid Quantity: 2059735mL
14:25:45.188 -> 	2059LFlow rate: 10.43L/min	Output Liquid Quantity: 2059908mL
14:25:46.188 -> 	2059LFlow rate: 10.43L/min	Output Liquid Quantity: 2060081mL
14:25:47.219 -> 	2060LFlow rate: 10.43L/min	Output Liquid Quantity: 2060254mL
